cod_staz,date,Pres
AL007,2016-01-01 00:30:00,1026.02
AL007,2016-01-01 00:59:00,1025.88
AL007,2016-01-01 01:30:00,1025.69
AL007,2016-01-01 01:59:00,1025.6
AL007,2016-01-01 02:30:00,1025.47
AL007,2016-01-01 02:59:00,1025.6
AL007,2016-01-01 03:30:00,1025.56
AL007,2016-01-01 03:59:00,1025.4
AL007,2016-01-01 04:30:00,1025.25
AL007,2016-01-01 04:59:00,1025.24
AL007,2016-01-01 05:30:00,1025.21
AL007,2016-01-01 05:59:00,1025.26
AL007,2016-01-01 06:30:00,1025.34
AL007,2016-01-01 06:59:00,1025.47
AL007,2016-01-01 07:30:00,1025.71
AL007,2016-01-01 07:59:00,1025.91
AL007,2016-01-01 08:30:00,1026.1
AL007,2016-01-01 08:59:00,1026.34
AL007,2016-01-01 09:30:00,1026.49
AL007,2016-01-01 09:59:00,1026.61
AL007,2016-01-01 10:30:00,1026.82
AL007,2016-01-01 10:59:00,1026.74
AL007,2016-01-01 11:30:00,1026.52
AL007,2016-01-01 11:59:00,1026.21
AL007,2016-01-01 12:30:00,1025.99
AL007,2016-01-01 12:59:00,1025.8
AL007,2016-01-01 13:30:00,1025.66
AL007,2016-01-01 13:59:00,1025.5
AL007,2016-01-01 14:30:00,1025.3
AL007,2016-01-01 14:59:00,1025.16
AL007,2016-01-01 15:30:00,1025.11
AL007,2016-01-01 15:59:00,1025.24
AL007,2016-01-01 16:30:00,1025.19
AL007,2016-01-01 16:59:00,1025.22
AL007,2016-01-01 17:30:00,1025.06
AL007,2016-01-01 17:59:00,1024.94
AL007,2016-01-01 18:30:00,1024.91
AL007,2016-01-01 18:59:00,1024.98
AL007,2016-01-01 19:30:00,1024.98
AL007,2016-01-01 19:59:00,1025.15
AL007,2016-01-01 20:30:00,1025.08
AL007,2016-01-01 20:59:00,1025.13
AL007,2016-01-01 21:30:00,1025.07
AL007,2016-01-01 21:59:00,1025.03
AL007,2016-01-01 22:30:00,1024.96
AL007,2016-01-01 22:59:00,1024.88
AL007,2016-01-01 23:30:00,1024.99
AL007,2016-01-01 23:59:00,1024.8
AL007,2016-01-02 00:30:00,1024.45
AL007,2016-01-02 00:59:00,1024.15
AL007,2016-01-02 01:30:00,1023.88
AL007,2016-01-02 01:59:00,1023.68
AL007,2016-01-02 02:30:00,1023.54
AL007,2016-01-02 02:59:00,1023.5
AL007,2016-01-02 03:30:00,1023.27
AL007,2016-01-02 03:59:00,1022.74
AL007,2016-01-02 04:30:00,1022.31
AL007,2016-01-02 04:59:00,1022.07
AL007,2016-01-02 05:30:00,1021.81
AL007,2016-01-02 05:59:00,1021.49
AL007,2016-01-02 06:30:00,1021.49
AL007,2016-01-02 06:59:00,1021.38
AL007,2016-01-02 07:30:00,1021.15
AL007,2016-01-02 07:59:00,1021.12
AL007,2016-01-02 08:30:00,1021.28
AL007,2016-01-02 08:59:00,1021.37
AL007,2016-01-02 09:30:00,1021.24
AL007,2016-01-02 09:59:00,1021.17
AL007,2016-01-02 10:30:00,1020.98
AL007,2016-01-02 10:59:00,1020.58
AL007,2016-01-02 11:30:00,1020.12
AL007,2016-01-02 11:59:00,1019.5
AL007,2016-01-02 12:30:00,1018.95
AL007,2016-01-02 12:59:00,1018.64
AL007,2016-01-02 13:30:00,1018.22
AL007,2016-01-02 13:59:00,1017.67
AL007,2016-01-02 14:30:00,1017.24
AL007,2016-01-02 14:59:00,1016.92
AL007,2016-01-02 15:30:00,1016.74
AL007,2016-01-02 15:59:00,1016.37
AL007,2016-01-02 16:30:00,1016.14
AL007,2016-01-02 16:59:00,1015.96
AL007,2016-01-02 17:30:00,1015.73
AL007,2016-01-02 17:59:00,1015.46
AL007,2016-01-02 18:30:00,1015.2
AL007,2016-01-02 18:59:00,1014.66
AL007,2016-01-02 19:30:00,1014.35
AL007,2016-01-02 19:59:00,1014.09
AL007,2016-01-02 20:30:00,1013.6
AL007,2016-01-02 20:59:00,1013.38
AL007,2016-01-02 21:30:00,1012.95
AL007,2016-01-02 21:59:00,1012.63
AL007,2016-01-02 22:30:00,1012.37
AL007,2016-01-02 22:59:00,1011.95
AL007,2016-01-02 23:30:00,1011.39
AL007,2016-01-02 23:59:00,1010.96
AL007,2016-01-03 00:30:00,1010.65
AL007,2016-01-03 00:59:00,1010.02
AL007,2016-01-03 01:30:00,1009.49
AL007,2016-01-03 01:59:00,1009.06
AL007,2016-01-03 02:30:00,1008.63
AL007,2016-01-03 02:59:00,1008.36
AL007,2016-01-03 03:30:00,1008.04
AL007,2016-01-03 03:59:00,1007.49
AL007,2016-01-03 04:30:00,1007.58
AL007,2016-01-03 04:59:00,1007.63
AL007,2016-01-03 05:30:00,1007.73
AL007,2016-01-03 05:59:00,1007.78
AL007,2016-01-03 06:30:00,1007.67
AL007,2016-01-03 06:59:00,1007.83
AL007,2016-01-03 07:30:00,1007.82
AL007,2016-01-03 07:59:00,1007.98
AL007,2016-01-03 08:30:00,1007.9
AL007,2016-01-03 08:59:00,1008.07
AL007,2016-01-03 09:30:00,1008.12
AL007,2016-01-03 09:59:00,1008.26
AL007,2016-01-03 10:30:00,1008.28
AL007,2016-01-03 10:59:00,1008.34
AL007,2016-01-03 11:30:00,1008.2
AL007,2016-01-03 11:59:00,1007.96
AL007,2016-01-03 12:30:00,1007.64
AL007,2016-01-03 12:59:00,1007.37
AL007,2016-01-03 13:30:00,1007.34
AL007,2016-01-03 13:59:00,1007.47
AL007,2016-01-03 14:30:00,1007.47
AL007,2016-01-03 14:59:00,1007.43
AL007,2016-01-03 15:30:00,1007.49
AL007,2016-01-03 15:59:00,1007.54
AL007,2016-01-03 16:30:00,1007.75
AL007,2016-01-03 16:59:00,1007.84
AL007,2016-01-03 17:30:00,1007.93
AL007,2016-01-03 17:59:00,1008.38
AL007,2016-01-03 18:30:00,1008.58
AL007,2016-01-03 18:59:00,1008.58
AL007,2016-01-03 19:30:00,1008.62
AL007,2016-01-03 19:59:00,1008.86
AL007,2016-01-03 20:30:00,1008.95
AL007,2016-01-03 20:59:00,1008.73
AL007,2016-01-03 21:30:00,1008.81
AL007,2016-01-03 21:59:00,1008.79
AL007,2016-01-03 22:30:00,1008.9
AL007,2016-01-03 22:59:00,1008.85
AL007,2016-01-03 23:30:00,1008.27
AL007,2016-01-03 23:59:00,1007.4
AL007,2016-01-04 00:30:00,1007.43
AL007,2016-01-04 00:59:00,1007.13
AL007,2016-01-04 01:30:00,1006.65
AL007,2016-01-04 01:59:00,1006.08
AL007,2016-01-04 02:30:00,1005.74
AL007,2016-01-04 02:59:00,1005.67
AL007,2016-01-04 03:30:00,1005.16
AL007,2016-01-04 03:59:00,1004.49
AL007,2016-01-04 04:30:00,1004.15
AL007,2016-01-04 04:59:00,1003.67
AL007,2016-01-04 05:30:00,1003.3
AL007,2016-01-04 05:59:00,1002.97
AL007,2016-01-04 06:30:00,1002.62
AL007,2016-01-04 06:59:00,1002.21
AL007,2016-01-04 07:30:00,1001.8
AL007,2016-01-04 07:59:00,1001.26
AL007,2016-01-04 08:30:00,1000.78
AL007,2016-01-04 08:59:00,1000.96
AL007,2016-01-04 09:30:00,1000.83
AL007,2016-01-04 09:59:00,1000.83
AL007,2016-01-04 10:30:00,1000.73
AL007,2016-01-04 10:59:00,1000.5
AL007,2016-01-04 11:30:00,999.72
AL007,2016-01-04 11:59:00,999.57
AL007,2016-01-04 12:30:00,999.39
AL007,2016-01-04 12:59:00,998.91
AL007,2016-01-04 13:30:00,998.39
AL007,2016-01-04 13:59:00,998.14
AL007,2016-01-04 14:30:00,997.99
AL007,2016-01-04 14:59:00,997.99
AL007,2016-01-04 15:30:00,998.2
AL007,2016-01-04 15:59:00,997.95
AL007,2016-01-04 16:30:00,998.08
AL007,2016-01-04 16:59:00,998.41
AL007,2016-01-04 17:30:00,998.85
AL007,2016-01-04 17:59:00,998.81
AL007,2016-01-04 18:30:00,998.95
AL007,2016-01-04 18:59:00,999.04
AL007,2016-01-04 19:30:00,999.04
AL007,2016-01-04 19:59:00,999.32
AL007,2016-01-04 20:30:00,999.45
AL007,2016-01-04 20:59:00,999.72
AL007,2016-01-04 21:30:00,999.72
AL007,2016-01-04 21:59:00,1000.11
AL007,2016-01-04 22:30:00,1000.24
AL007,2016-01-04 22:59:00,1000.37
AL007,2016-01-04 23:30:00,1000.37
AL007,2016-01-04 23:59:00,1000.41
AL007,2016-01-05 00:30:00,1000.58
AL007,2016-01-05 00:59:00,1000.37
AL007,2016-01-05 01:30:00,1000.25
AL007,2016-01-05 01:59:00,1000.49
AL007,2016-01-05 02:30:00,1000.66
AL007,2016-01-05 02:59:00,1000.42
AL007,2016-01-05 03:30:00,1000.21
AL007,2016-01-05 03:59:00,999.99
AL007,2016-01-05 04:30:00,999.69
AL007,2016-01-05 04:59:00,999.39
AL007,2016-01-05 05:30:00,999.18
AL007,2016-01-05 05:59:00,999.26
AL007,2016-01-05 06:30:00,999.5
AL007,2016-01-05 06:59:00,999.63
AL007,2016-01-05 07:30:00,999.53
AL007,2016-01-05 07:59:00,999.69
AL007,2016-01-05 08:30:00,999.96
AL007,2016-01-05 08:59:00,1000.0
AL007,2016-01-05 09:30:00,1000.24
AL007,2016-01-05 09:59:00,1000.37
AL007,2016-01-05 10:30:00,1000.8
AL007,2016-01-05 10:59:00,1000.87
AL007,2016-01-05 11:30:00,1000.86
AL007,2016-01-05 11:59:00,1000.26
AL007,2016-01-05 12:30:00,999.71
AL007,2016-01-05 12:59:00,999.31
AL007,2016-01-05 13:30:00,999.11
AL007,2016-01-05 13:59:00,998.87
AL007,2016-01-05 14:30:00,998.86
AL007,2016-01-05 14:59:00,998.96
AL007,2016-01-05 15:30:00,999.54
AL007,2016-01-05 15:59:00,999.6
AL007,2016-01-05 16:30:00,999.68
AL007,2016-01-05 16:59:00,999.55
AL007,2016-01-05 17:30:00,999.66
AL007,2016-01-05 17:59:00,1000.09
AL007,2016-01-05 18:30:00,1000.57
AL007,2016-01-05 18:59:00,1000.95
AL007,2016-01-05 19:30:00,1001.23
AL007,2016-01-05 19:59:00,1001.5
AL007,2016-01-05 20:30:00,1001.83
AL007,2016-01-05 20:59:00,1002.07
AL007,2016-01-05 21:30:00,1002.22
AL007,2016-01-05 21:59:00,1002.13
AL007,2016-01-05 22:30:00,1001.78
AL007,2016-01-05 22:59:00,1001.45
AL007,2016-01-05 23:30:00,1001.84
AL007,2016-01-05 23:59:00,1001.94
AL007,2016-01-06 00:30:00,1001.7
AL007,2016-01-06 00:59:00,1001.64
AL007,2016-01-06 01:30:00,1001.66
AL007,2016-01-06 01:59:00,1001.49
AL007,2016-01-06 02:30:00,1001.56
AL007,2016-01-06 02:59:00,1001.63
AL007,2016-01-06 03:30:00,1001.58
AL007,2016-01-06 03:59:00,1001.39
AL007,2016-01-06 04:30:00,1001.08
