Station,Year,Month,Mean,Max,Min,Mode
AL007,2013,1,0.07602427921092565,5.1,0.0,0.0
AL007,2013,2,0.06036829463570857,5.8,0.0,0.0
AL007,2013,3,0.08609904430929625,11.9,0.0,0.0
AL007,2013,4,0.025733137829912024,6.5,0.0,0.0
AL007,2013,5,0.05322580645161291,9.1,0.0,0.0
AL007,2013,6,0.015304606240713226,4.8,0.0,0.0
AL007,2013,7,0.03978494623655914,13.4,0.0,0.0
AL007,2013,8,0.04500683994528044,26.8,0.0,0.0
AL007,2013,9,0.035486111111111114,10.2,0.0,0.0
AL007,2013,11,0.1795774647887324,21.5,0.0,0.0
AL007,2013,12,0.016330645161290323,2.5,0.0,0.0
