Station,Year,Month,Mean,Max,Min,Mode
AL007,2014,1,1013.1856745479834,1029.13,995.54,995.82
AL007,2014,2,1013.8282812499999,1022.76,1003.23,1008.12
AL007,2014,3,1014.124143454039,1028.87,988.17,1006.72
AL007,2014,4,1012.3138131699848,1021.1,1000.12,1007.47
AL007,2014,5,1014.4892674731183,1021.78,1002.14,1012.95
AL007,2014,6,1015.0990363349131,1022.32,1007.71,1017.65
AL007,2014,7,1013.0826814516129,1023.3,1004.48,1011.61
AL007,2014,8,1013.7901599443671,1017.3,1008.48,1015.18
AL007,2014,9,1014.5629201520912,1028.51,1002.38,1014.91
AL007,2014,10,1017.2752355316285,1025.86,1003.34,1016.49
AL007,2014,11,1014.7503614457831,1026.91,1004.33,1008.84
AL007,2014,12,1016.6331051873199,1031.99,996.25,1022.97
