Station,Year,Month,Mean,Max,Min,Mode
AL007,2014,1,9.879570535093814,18.133,1.272,9.994
AL007,2014,2,12.173245535714287,23.083,5.191,10.027
AL007,2014,3,12.354194154488518,21.436,4.475,9.314
AL007,2014,4,15.671001523229247,24.55,7.814,14.694
AL007,2014,5,18.162007392473118,27.84,9.947,17.561
AL007,2014,6,23.44883843137255,35.209,12.46,28.85
AL007,2014,7,24.19877822580645,34.871,15.725,23.223
AL007,2014,8,25.2068617095205,33.91,17.693,22.974
AL007,2014,9,22.20426235741445,29.733,14.82,16.705
AL007,2014,10,19.29618506056528,28.353,7.838,18.139
AL007,2014,11,15.54730028328612,23.112,6.58,13.619
AL007,2014,12,10.476025179856114,20.32,-0.154,12.561
