cod_staz,date,T
AL007,2024-01-03 10:30:00,14.384
AL007,2024-01-03 10:59:00,14.611
AL007,2024-01-03 11:30:00,14.828
AL007,2024-01-03 11:59:00,15.106
AL007,2024-01-03 12:30:00,15.317
AL007,2024-01-03 12:59:00,15.481
AL007,2024-01-03 13:30:00,15.57
AL007,2024-01-03 13:59:00,15.885
AL007,2024-01-03 14:30:00,16.092
AL007,2024-01-03 14:59:00,16.111
AL007,2024-01-03 15:30:00,15.898
AL007,2024-01-03 15:59:00,15.708
AL007,2024-01-03 16:30:00,15.523
AL007,2024-01-03 16:59:00,15.344
AL007,2024-01-03 17:30:00,15.226
AL007,2024-01-03 17:59:00,15.118
AL007,2024-01-03 18:30:00,14.963
AL007,2024-01-03 18:59:00,14.944
AL007,2024-01-03 19:30:00,14.764
AL007,2024-01-03 19:59:00,14.665
AL007,2024-01-03 20:30:00,14.717
AL007,2024-01-03 20:59:00,14.681
AL007,2024-01-03 21:30:00,14.779
AL007,2024-01-03 21:59:00,14.778
AL007,2024-01-03 22:30:00,14.808
AL007,2024-01-03 22:59:00,14.558
AL007,2024-01-03 23:30:00,14.394
AL007,2024-01-03 23:59:00,14.298
AL007,2024-01-04 00:30:00,14.023
AL007,2024-01-04 00:59:00,13.829
AL007,2024-01-04 01:30:00,13.703
AL007,2024-01-04 01:59:00,13.747
AL007,2024-01-04 02:30:00,13.687
AL007,2024-01-04 02:59:00,13.59
AL007,2024-01-04 03:30:00,13.69
AL007,2024-01-04 03:59:00,13.732
AL007,2024-01-04 04:30:00,13.765
AL007,2024-01-04 04:59:00,13.831
AL007,2024-01-04 05:30:00,13.803
AL007,2024-01-04 05:59:00,13.837
AL007,2024-01-04 06:30:00,13.892
AL007,2024-01-04 06:59:00,13.823
AL007,2024-01-04 07:30:00,13.803
AL007,2024-01-04 07:59:00,13.877
AL007,2024-01-04 08:30:00,13.853
AL007,2024-01-04 08:59:00,13.636
AL007,2024-01-04 09:30:00,12.989
AL007,2024-01-04 09:59:00,12.845
AL007,2024-01-04 10:30:00,13.615
AL007,2024-01-04 10:59:00,14.382
AL007,2024-01-04 11:30:00,15.136
AL007,2024-01-04 11:59:00,15.847
AL007,2024-01-04 12:30:00,16.092
AL007,2024-01-04 12:59:00,16.63
AL007,2024-01-04 13:30:00,16.966
AL007,2024-01-04 13:59:00,17.209
AL007,2024-01-04 14:30:00,17.651
AL007,2024-01-04 14:59:00,17.643
AL007,2024-01-04 15:30:00,17.591
AL007,2024-01-04 15:59:00,17.62
AL007,2024-01-04 16:30:00,17.434
AL007,2024-01-04 16:59:00,17.189
AL007,2024-01-04 17:30:00,16.538
AL007,2024-01-04 17:59:00,15.015
AL007,2024-01-04 18:30:00,14.574
AL007,2024-01-04 18:59:00,14.411
AL007,2024-01-04 19:30:00,14.094
AL007,2024-01-04 19:59:00,13.806
AL007,2024-01-04 20:30:00,13.723
AL007,2024-01-04 20:59:00,13.316
AL007,2024-01-04 21:30:00,12.501
AL007,2024-01-04 21:59:00,12.416
AL007,2024-01-04 22:30:00,12.246
AL007,2024-01-04 22:59:00,11.584
AL007,2024-01-04 23:30:00,10.618
AL007,2024-01-04 23:59:00,10.759
AL007,2024-01-05 00:30:00,11.005
AL007,2024-01-05 00:59:00,11.296
AL007,2024-01-05 01:30:00,11.145
AL007,2024-01-05 01:59:00,11.605
AL007,2024-01-05 02:30:00,11.42
AL007,2024-01-05 02:59:00,11.083
AL007,2024-01-05 03:30:00,11.214
AL007,2024-01-05 03:59:00,11.522
AL007,2024-01-05 04:30:00,11.62
AL007,2024-01-05 04:59:00,11.54
AL007,2024-01-05 05:30:00,11.428
AL007,2024-01-05 05:59:00,11.356
AL007,2024-01-05 06:30:00,11.937
AL007,2024-01-05 06:59:00,11.669
AL007,2024-01-05 07:30:00,11.312
AL007,2024-01-05 07:59:00,11.671
AL007,2024-01-05 08:30:00,12.181
AL007,2024-01-05 08:59:00,12.585
AL007,2024-01-05 09:30:00,13.06
AL007,2024-01-05 09:59:00,13.719
AL007,2024-01-05 10:30:00,14.315
AL007,2024-01-05 10:59:00,14.88
AL007,2024-01-05 11:30:00,15.669
AL007,2024-01-05 11:59:00,16.168
AL007,2024-01-05 12:30:00,16.194
AL007,2024-01-05 12:59:00,16.279
AL007,2024-01-05 13:30:00,16.308
AL007,2024-01-05 13:59:00,16.143
AL007,2024-01-05 14:30:00,16.083
AL007,2024-01-05 14:59:00,15.948
AL007,2024-01-05 15:30:00,15.473
AL007,2024-01-05 15:59:00,15.387
AL007,2024-01-05 16:30:00,15.449
AL007,2024-01-05 16:59:00,15.523
AL007,2024-01-05 17:30:00,15.52
AL007,2024-01-05 17:59:00,15.446
AL007,2024-01-05 18:30:00,15.344
AL007,2024-01-05 18:59:00,15.046
AL007,2024-01-05 19:30:00,14.981
AL007,2024-01-05 19:59:00,15.225
AL007,2024-01-05 20:30:00,15.407
AL007,2024-01-05 20:59:00,15.436
AL007,2024-01-05 21:30:00,15.436
AL007,2024-01-05 21:59:00,15.444
AL007,2024-01-05 22:30:00,15.478
AL007,2024-01-05 22:59:00,15.328
AL007,2024-01-05 23:30:00,14.92
AL007,2024-01-05 23:59:00,15.014
